"z","y"
1,3.51705637581196
1,6.87472591343872
1,7.9549395379713
0,7.64221188948866
1,6.820608341232
0,-0.524031572672879
0,7.5075578580718
0,5.81832252270184
1,8.82081175182489
0,9.45266262068421
1,7.75702623620449
0,4.26072285514661
1,-0.340330409399833
0,11.1077245230306
0,4.40087464603926
0,5.44799262359179
0,7.42638294009077
0,4.77366168190455
0,1.69426650076354
0,-1.1242152931787
0,4.76041470979889
0,2.67967916943894
0,13.2496925981455
0,3.67258663169783
1,7.46875205635801
0,8.40052961500056
1,5.0255917735127
0,5.13038678435331
1,3.49335862874955
1,4.07841353130721
0,6.20702037779728
0,9.2845005117098
0,9.26218680098185
1,6.21871974597068
0,4.28875938720572
1,8.55070962511007
1,3.46568187565168
0,6.21313680055963
0,5.73999738167979
0,3.99752792002357
0,10.5825856386578
0,1.64056523414197
0,2.59784873219274
0,9.71724046120179
1,6.23315229923344
0,4.16550856175693
1,6.0396866639336
1,9.28537751741495
0,4.61925770013953
0,7.78669902709746
0,5.91795452316198
1,7.3898685781103
0,-0.538319425488042
0,2.75687249775963
0,4.89742300447384
0,4.20932578381453
0,5.1404870813864
0,-0.08845532070324
1,9.49807794860495
1,3.78394727388836
1,7.76454068786186
0,3.42888977052747
0,4.62938336212099
1,9.14932272139849
1,13.2585986414096
0,10.3984922792996
0,9.23571628141252
0,3.48224024828871
0,5.87226431587784
1,1.6740642453612
0,4.80613772958674
0,5.62917460505325
1,3.38904789246942
1,-0.52119532616835
0,5.34445521341834
0,-3.24537185886227
0,3.73909432858301
0,6.87801849563881
0,2.89814365369947
0,7.70063217523847
1,5.77795636721875
1,6.93750062916267
0,5.09462528696475
0,4.04363347173745
1,5.49165583592364
1,8.20989920666832
0,4.88862078678456
0,7.57108573636784
1,9.66270306067004
0,4.39720605362334
0,-5.22678399552658
0,2.55802592098542
0,4.26140598016339
0,3.42480176109324
1,8.20796947993185
0,5.87569847587772
1,14.3973582233064
1,5.28171290253136
0,5.97700566228836
1,7.2792071463781
0,5.53982195482557
1,5.25411070516063
0,7.03455811151278
0,1.93794848567739
0,3.52408783399613
0,6.34604597904028
0,6.54517699185565
1,7.82784778034653
1,8.93747875439355
0,5.34233635092502
1,4.28636063521598
1,7.30711239726463
0,5.13377672918354
1,8.26396443665275
0,5.27365470713593
0,2.08396604762435
0,11.7477829108529
0,-0.127440914047378
